Time,x,y,z
2.88,-208,188,-1028
2.97,-180,196,-1060
3.07,-180,180,-1044
3.17,-176,180,-1084
3.27,-204,196,-1048
3.37,-188,168,-1064
3.47,-236,140,-992
3.57,-144,164,-1072
3.67,-124,256,-1028
3.77,-172,228,-1060
3.87,-140,244,-1068
3.97,-152,208,-1048
4.07,-164,204,-1024
4.17,-32,204,-1156
4.27,84,240,-1068
4.38,-132,316,-208
4.47,-16,276,-1040
33.87,28,-76,-1188
33.97,124,-24,-1136
34.07,-16,28,-936
34.17,284,-132,-808
34.27,596,-20,-768
34.37,1184,-964,-900
34.47,504,-960,-104
34.57,-268,-1088,268
34.67,-500,-724,324
34.77,-364,-1720,156
34.87,112,-1768,-196
34.97,712,-632,-344
35.07,280,-476,-96
35.17,324,-796,-128
35.27,236,-1908,-56
35.37,-308,-576,-240
35.47,-244,-564,-132
35.57,-92,-2040,140
35.67,564,-628,-324
35.77,296,40,-164
35.87,224,-924,-48
35.97,76,-1836,-256
36.07,-220,-376,-220
36.17,-176,-24,112
36.27,892,-2040,-144
36.37,900,-444,-796
36.47,160,-704,-200
36.57,320,-104,-172
36.67,1632,-1972,-24
36.77,288,-1124,188
36.87,-12,-636,280
36.98,-492,-864,396
37.07,-700,-2040,420
37.17,892,-1980,-384
37.27,692,56,-284
37.37,436,-56,72
37.47,644,-888,272
37.57,780,-2040,372
37.69,-916,-668,156
37.79,-684,-220,140
37.89,672,-2040,1544
37.99,712,-64,120
38.09,308,748,-40
38.19,964,-2040,296
38.29,408,-1500,-92
38.39,-1212,80,220
38.49,-352,-1064,392
38.59,2040,-2040,296
38.69,468,124,-8
38.79,260,452,-132
38.89,912,-2040,268
38.99,168,-872,-120
39.09,-560,300,236
39.19,200,-2040,100
39.29,672,-296,-492
39.39,288,20,-160
39.49,936,-1684,-40
39.59,140,-932,88
39.69,-336,-576,132
39.79,-132,-1288,-48
39.89,-152,-1672,-192
39.99,500,-1924,-552
40.09,756,-484,-404
40.19,408,-120,60
40.29,668,-772,-28
40.39,260,-1864,96
40.49,-560,-492,-128
40.59,-516,68,-48
40.69,472,-2040,252
40.79,1032,-380,-216
40.89,472,460,-80
40.99,408,-164,-224
41.09,420,-2040,24
41.19,-616,-320,-204
41.29,-468,-316,36
41.39,432,-2040,316
41.49,1232,-468,-172
41.59,476,724,-88
41.69,556,-428,-100
41.79,468,-2040,276
41.89,-268,-228,-40
41.99,-440,-76,168
42.09,500,-2040,44
42.19,720,-532,-588
42.29,264,12,-36
42.39,568,-260,124
42.49,976,-2040,448
42.59,-228,-1292,312
42.69,-616,-112,208
42.79,-436,-1236,268
42.89,-240,-2040,184
42.99,612,-1004,-376
43.09,288,168,-296
43.19,264,-40,-152
43.29,1004,-2040,464
43.39,204,-1484,52
43.49,-292,-556,-64
43.59,-480,-100,60
43.69,-48,-2040,432
43.79,576,-1148,48
43.89,200,-80,-116
43.99,112,-124,-168
44.09,596,-2040,-484
44.19,-356,-932,-280
44.29,-12,-356,-192
44.40,-96,-392,68
44.50,1036,-2040,-184
44.60,320,-640,-436
44.70,320,-988,-16
44.80,512,-1220,-372
44.90,456,-1024,-480
45.00,472,-728,-780
45.10,536,-612,-1368
45.20,84,-616,-1268
45.30,-428,-572,-1624
45.40,-352,-512,-620
45.50,-536,80,-724
45.60,-1376,932,-392
45.70,-976,2040,2040
45.80,1996,-472,-588
45.90,72,832,1264
46.00,-1612,348,-1608
46.10,-32,1480,-836
46.20,-172,476,-372
46.30,-596,188,276
46.40,-844,584,436
46.50,248,200,-160
46.60,452,336,156
46.70,-1196,876,-344
46.80,-1144,-848,-2040
46.90,-1536,-116,-964
47.00,-864,268,-616
47.10,-544,700,436
47.20,320,-112,-88
47.30,2040,-460,-2040
47.40,-844,2040,224
47.50,200,844,604
47.60,2040,-1520,2040
47.70,208,2040,-2040
47.80,-1420,-2040,2040
47.90,-16,492,-2040
48.00,-264,-924,-904
48.10,-560,-1464,-680
48.20,-168,-964,-700
48.30,-36,-568,-248
48.40,1220,72,772
48.50,2040,72,-2040
48.60,88,424,232
48.70,172,-32,1348
48.89,-12,420,-496
48.99,120,224,1096
49.09,1680,-416,-2040
49.19,240,-760,644
49.29,448,-232,-1032
49.39,880,-612,-2040
49.49,-1100,100,1708
49.59,1212,-924,-2040
49.69,-584,116,-316
49.79,-552,244,24
50.02,-120,-296,-1400
50.12,-288,-232,-1060
50.22,-356,-320,-440
50.32,-528,-280,272
50.42,-556,512,1204
50.52,2040,1372,-2040
50.62,232,248,-1000
50.72,-1692,980,1764
50.82,2032,-692,-2040
50.92,96,388,-1028
51.02,-1044,592,1420
51.12,2040,-412,-2040
51.22,-308,384,-288
51.32,-228,452,440
51.42,2040,448,-2040
51.52,100,168,572
51.62,-548,-356,896
51.72,2040,-24,-2040
51.82,-828,-108,1396
51.92,468,-124,-584
52.05,360,-64,-1740
52.15,-856,356,1648
52.25,1044,132,-2040
52.35,96,-788,-1684
52.58,-420,64,1004
52.68,568,-176,-1236
52.78,-1160,76,-1164
52.88,-456,-284,-1096
53.03,-260,-208,-896
53.13,-312,-300,-1176
53.23,-1548,-84,-2040
53.33,-1504,572,-1036
53.43,-524,228,-276
53.53,-472,812,1180
53.63,1924,220,-124
53.73,-2040,296,-240
53.83,-1172,440,-24
53.93,-116,376,-452
54.03,632,236,216
54.13,-396,456,472
54.23,280,420,-2040
54.33,1976,-1088,-2040
54.43,-8,-728,-732
54.53,768,-1100,-1052
54.63,1284,-364,-1072
54.73,652,-680,-472
54.83,596,-508,-704
54.93,764,-668,-872
55.03,380,-572,-1244
55.13,440,76,-720
55.23,400,72,-684
55.33,272,184,-876
55.43,516,0,-876
55.53,584,64,-848
55.63,780,-76,-740
55.73,1340,-76,-1224
